shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
-0.96666700,-7.49452353,-4.87169075,2.62283278,-2.34981322,-8.10503101,-5.75521779,-11.32248735,-15.88605690,-4.56356955,2.01778725,-0.03312717,-2.05091442,57.10425041,52.81925964,-4.28499077,-23.59275818,-23.30922318,0.28353500,-4.93781810,-4.79436159,0.14345651
-0.70000000,-6.38131142,-4.39188862,1.98942280,-1.48294330,-6.60572147,-5.12277818,-3.17629528,-7.66078424,-4.48448896,1.18793368,-0.01543791,-1.20337159,29.28871887,25.68820190,-3.60051697,-16.40587997,-15.89778233,0.50809765,-2.35961207,-2.29040813,0.06920394
-0.43333300,-5.30156469,-3.84997368,1.45159101,-0.94143063,-5.43246031,-4.49102968,0.73155308,-3.53726363,-4.26881671,0.72793649,-0.00694357,-0.73488006,14.35862739,12.01742840,-2.34119899,-11.43685138,-10.90294170,0.53390968,-1.06361675,-1.03575206,0.02786469
0.10000000,-3.58271194,-2.83293915,0.74977279,-0.39836708,-3.76745963,-3.36909255,2.75884527,-0.69828105,-3.45712632,0.31642227,-0.00134246,-0.31776473,3.12914190,2.47428799,-0.65485391,-5.66817611,-5.33052874,0.33764737,-0.19585364,-0.19217739,0.00367625
0.63333300,-2.43711305,-2.03912354,0.39798951,-0.18152824,-2.69153142,-2.51000318,2.41511378,-0.13388887,-2.54900265,0.15512680,-0.00026368,-0.15539048,0.63395084,0.50382853,-0.13012231,-2.93023466,-2.77628970,0.15394496,-0.03607799,-0.03437653,0.00170147
1.16666700,-1.69285393,-1.46710873,0.22574520,-0.08859733,-1.97253013,-1.88393279,1.80288200,-0.02613787,-1.82901987,0.08065954,-0.00005304,-0.08071258,0.12512755,0.10498623,-0.02014132,-1.59557364,-1.53255403,0.06301961,-0.00741483,-0.00622590,0.00118894
1.70000000,-1.20440638,-1.06530666,0.13909972,-0.04594404,-1.47774482,-1.43180078,1.31375591,-0.00521253,-1.31896845,0.04358113,-0.00001038,-0.04359151,0.02451076,0.02219367,-0.00231709,-0.91526283,-0.88885331,0.02640951,-0.00181527,-0.00111734,0.00069793
2.50000000,-0.75403917,-0.67571640,0.07832277,-0.01891354,-0.99244076,-0.97352722,0.83278480,-0.00047026,-0.83325506,0.01848398,-0.00000079,-0.01848477,0.00209606,0.00214654,0.00005048,-0.43393828,-0.42468938,0.00924889,-0.00031874,-0.00007721,0.00024152
3.30000000,-0.49317211,-0.44250202,0.05067009,-0.00858623,-0.69058210,-0.68199587,0.54806815,-0.00004237,-0.54811053,0.00846672,-0.00000005,-0.00846677,0.00015971,0.00020503,0.00004532,-0.22446785,-0.21971574,0.00475211,-0.00008743,-0.00000458,0.00008285
4.10000000,-0.33445588,-0.29872322,0.03573266,-0.00422370,-0.49499154,-0.49076784,0.37376063,-0.00000383,-0.37376445,0.00416798,-0.00000000,-0.00416798,0.00001178,0.00001980,0.00000802,-0.12452450,-0.12141118,0.00311331,-0.00002959,-0.00000024,0.00002935
-3.40000000,-4.60568142,-2.16815567,2.43752575,-9.13951588,-18.14906120,-9.00954533,-124.04832554,-129.17655945,-5.12823391,3.60826397,-0.37069348,-3.97895744,400.60060730,420.08465576,19.48404846,-81.48484802,-80.32768250,1.15716553,-28.72829378,-22.57125473,6.15703905
-3.18750000,-3.86717606,-2.26766586,1.59951019,-4.28098631,-14.38998604,-10.10899973,-61.78636551,-67.31340027,-5.52703476,1.17561030,-0.19305459,-1.36866489,207.06187431,220.27566528,13.21379097,-55.32165527,-56.27876282,-0.95710754,-13.84128613,-11.25185394,2.58943218
-2.97500000,-3.23528957,-2.23675156,0.99853802,-2.24128246,-11.60612679,-9.36484432,-29.74907398,-34.45473099,-4.70565701,0.49759281,-0.09847823,-0.59607103,105.06666062,113.74111938,8.67445876,-38.18596458,-39.21342468,-1.02746010,-6.57001954,-5.47085667,1.09916287
-2.76250000,-2.72071457,-2.13429260,0.58642197,-1.29507184,-9.49566841,-8.20059657,-13.71647835,-17.40190506,-3.68542671,0.30068183,-0.04935933,-0.35004116,52.48719332,58.03015137,5.54295805,-26.67244244,-27.36043739,-0.68799496,-3.07269892,-2.60600471,0.46669421
-2.55000000,-2.30773902,-1.99502945,0.31270957,-0.81323725,-7.86428547,-7.05104822,-5.87843156,-8.70380402,-2.82537246,0.23941076,-0.02437059,-0.26378135,25.86644381,29.34453011,3.47808630,-18.81371450,-19.21887016,-0.40515566,-1.42251979,-1.22031391,0.20220589
-2.12500000,-1.70688558,-1.68117714,0.02570844,-0.38407144,-5.56041145,-5.17634001,-0.40526772,-2.13833141,-1.73306370,0.18477164,-0.00572461,-0.19049625,6.07322040,7.38146830,1.30824790,-9.63844299,-9.80932903,-0.17088604,-0.30388033,-0.25684994,0.04703039
-1.70000000,-1.30306780,-1.38097954,-0.07791173,-0.20999861,-4.06297874,-3.85298014,0.66274220,-0.52013218,-1.18287438,0.13246071,-0.00129348,-0.13375419,1.37806688,1.84086490,0.46279802,-5.16472673,-5.29208708,-0.12736034,-0.06867308,-0.05185283,0.01682025
-1.27500000,-1.01847041,-1.12206268,-0.10359228,-0.12418677,-3.04812932,-2.92394255,0.75493008,-0.12684418,-0.88177426,0.08883069,-0.00028399,-0.08911469,0.30492003,0.46052292,0.15560289,-2.91128446,-3.02009201,-0.10880755,-0.01781533,-0.01015632,0.00765901
-0.85000000,-0.80983543,-0.90884399,-0.09900856,-0.07694628,-2.33693576,-2.25998948,0.65903777,-0.03128559,-0.69032336,0.05827993,-0.00006108,-0.05834102,0.06625015,0.11649053,0.05024038,-1.72714987,-1.81284785,-0.08569799,-0.00568563,-0.00194666,0.00373897
-0.21250000,-0.58795804,-0.66460037,-0.07664233,-0.03978926,-1.62199283,-1.58220357,0.49582236,-0.00396086,-0.49978321,0.03124389,-0.00000595,-0.03124984,0.00658245,0.01528716,0.00870471,-0.85988721,-0.91249794,-0.05261073,-0.00154752,-0.00015917,0.00138835
0.42500000,-0.43627608,-0.49080276,-0.05452669,-0.02170460,-1.16322911,-1.14152451,0.37142204,-0.00052538,-0.37194742,0.01730273,-0.00000057,-0.01730330,0.00063463,0.00209455,0.00145992,-0.46581401,-0.49574003,-0.02992601,-0.00057879,-0.00001284,0.00056595
1.06250000,-0.32951015,-0.36710453,-0.03759438,-0.01237493,-0.85684907,-0.84447415,0.28111726,-0.00007295,-0.28119020,0.00992882,-0.00000006,-0.00992887,0.00005576,0.00029967,0.00024391,-0.26951547,-0.28613898,-0.01662351,-0.00025049,-0.00000104,0.00024945
-1.10000000,-17.05353355,-16.68038940,0.37314415,-11.21842766,-13.24810410,-2.02967644,-37.40202522,-55.97565460,-18.57362938,11.75429350,-0.04717053,-11.80146403,172.24403767,187.04934692,14.80530925,-48.65573883,-48.04742432,0.60831451,-20.12779779,-18.49567223,1.63212557
-0.85000000,-13.65248966,-13.35504341,0.29744625,-5.84207296,-10.47825623,-4.63618326,-11.94273090,-25.09794807,-13.15521717,5.43638745,-0.02142175,-5.45780919,81.82536336,83.73898315,1.91361979,-32.29891777,-31.48120689,0.81771088,-8.79628199,-8.14035320,0.65592879
-0.60000000,-10.96013260,-10.75456047,0.20557213,-3.29377985,-8.42533493,-5.13155508,-0.78192139,-10.89987373,-10.11795235,2.76788718,-0.00959829,-2.77748547,38.19120132,36.48511505,-1.70608627,-21.75876141,-20.70473862,1.05402279,-3.77753787,-3.45569897,0.32183890
-0.35000000,-8.83767986,-8.71050453,0.12717533,-1.96159136,-6.86928988,-4.90769851,3.54071426,-4.63245392,-8.17316818,1.52107120,-0.00431045,-1.52538164,17.63567229,15.61968899,-2.01598330,-14.86539984,-13.80807590,1.05732393,-1.61226460,-1.43282831,0.17943629
-0.10000000,-7.16283989,-7.09510612,0.06773376,-1.21690679,-5.66723490,-4.45032811,4.81014132,-1.94423139,-6.75437272,0.89426333,-0.00196895,-0.89623228,8.10544762,6.63373280,-1.47171482,-10.30305582,-9.39587688,0.90717894,-0.69091668,-0.58740866,0.10350802
