shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
-3.20000000,-0.98050243,-0.39558029,0.58492213,-0.11371607,-7.21393681,-7.10022074,0.55367291,-0.03707097,-0.59074388,0.04851446,-1.20086265,-1.24937710,0.51549614,0.53240383,0.01690769,-3.99024484,-84.24571991,-80.25547507,-0.02554055,-2.24707150,-2.22153096
-2.72500000,-0.75033951,-0.40864182,0.34169769,-0.06081323,-5.20386887,-5.14305563,0.51372953,-0.02965662,-0.54338614,0.02737582,-0.51251543,-0.53989125,0.11690103,0.21676409,0.09986306,-2.27852231,-50.50662231,-48.22810001,-0.00634793,-1.79389668,-1.78754874
-2.25000000,-0.57571435,-0.38337326,0.19234109,-0.03393222,-3.83935690,-3.80542468,0.41045198,-0.02181097,-0.43226295,0.01548503,-0.22846501,-0.24395004,0.02605347,0.08910739,0.06305392,-1.36293901,-31.41608620,-30.05314719,-0.00186970,-1.43112016,-1.42925046
-1.53750000,-0.39078942,-0.32015419,0.07063523,-0.01519629,-2.52495742,-2.50976112,0.27327990,-0.01256506,-0.28584496,0.00674219,-0.07225193,-0.07899412,0.00268160,0.02389071,0.02120911,-0.68047275,-16.34148216,-15.66100941,-0.00044429,-1.02002621,-1.01958192
-0.82500000,-0.26929224,-0.25540733,0.01388490,-0.00733829,-1.72538245,-1.71804416,0.17861269,-0.00678762,-0.18540031,0.00304942,-0.02413293,-0.02718235,0.00026747,0.00650012,0.00623265,-0.36624652,-9.02151299,-8.65526646,-0.00014992,-0.72861063,-0.72846071
-0.11250000,-0.18866831,-0.20039940,-0.01173109,-0.00377894,-1.21791911,-1.21414017,0.11678312,-0.00352695,-0.12031007,0.00143295,-0.00841237,-0.00984532,0.00002298,0.00178072,0.00175774,-0.20934126,-5.23764229,-5.02830103,-0.00005961,-0.52251059,-0.52245098
-1.50000000,-8.27941418,-5.15360069,3.12581348,-5.43471622,-27.89204216,-22.45732594,-52.29599857,-1.14887738,51.14712119,5.62042820,-98.07068634,-103.69111454,184.24338241,15.08025837,-169.16312404,-48.45357513,-1114.59948730,-1066.14591217,-16.85649405,-4.42259169,12.43390237
-1.23333300,-8.33928013,-5.20889091,3.13038921,-3.66862512,-21.66439819,-17.99577308,-26.49463177,-1.08223569,25.41239607,3.44669792,-53.77365875,-57.22035667,105.56625981,9.86407375,-95.70218606,-33.89425659,-732.49884033,-698.60458374,-9.56422462,-3.94132805,5.62289657
-0.96666700,-7.49452353,-4.86641884,2.62810469,-2.34981322,-16.99789810,-14.64808488,-11.32248735,-0.93392569,10.38856167,2.01778725,-28.80659103,-30.82437828,57.10425041,6.36301947,-50.74123094,-23.59275818,-482.65588379,-459.06312561,-4.93781810,-3.50498867,1.43282943
-0.70000000,-6.38131142,-4.34540272,2.03590870,-1.48294330,-13.47831059,-11.99536729,-3.17629528,-0.76404369,2.41225159,1.18793368,-15.52696991,-16.71490359,29.28871887,4.06577110,-25.22294777,-16.40587997,-322.85159302,-306.44571304,-2.35961207,-3.11112452,-0.75151244
-0.43333300,-5.30156469,-3.77636528,1.52519941,-0.94143063,-10.80085087,-9.85942024,0.73155308,-0.60370147,-1.33525455,0.72793649,-8.57771111,-9.30564760,14.35862739,2.58566952,-11.77295787,-11.43685138,-220.51647949,-209.07962811,-1.06361675,-2.75702906,-1.69341231
0.10000000,-3.58271194,-2.73449612,0.84821582,-0.39836708,-7.14645052,-6.74808344,2.75884527,-0.35358346,-3.11242872,0.31642227,-2.87779069,-3.19421296,3.12914190,1.04538882,-2.08375308,-5.66817611,-109.68864441,-104.02046830,-0.19585364,-2.15664268,-1.96078904
0.63333300,-2.43711305,-1.93913078,0.49798226,-0.18152824,-4.90091467,-4.71938643,2.41511378,-0.19737332,-2.61248709,0.15512680,-1.06804967,-1.22317647,0.63395084,0.42603514,-0.20791570,-2.93023466,-58.64727402,-55.71703935,-0.03607799,-1.68063045,-1.64455245
1.16666700,-1.69285393,-1.37619591,0.31665802,-0.08859733,-3.46682835,-3.37823101,1.80288200,-0.10760984,-1.91049184,0.08065954,-0.41946709,-0.50012663,0.12512755,0.17429706,0.04916951,-1.59557364,-33.16781998,-31.57224634,-0.00741483,-1.30680919,-1.29939435
1.70000000,-1.20440638,-0.98711586,0.21729052,-0.04594404,-2.51919174,-2.47324770,1.31375591,-0.05803443,-1.37179035,0.04358113,-0.17013386,-0.21371499,0.02451076,0.07094525,0.04643449,-0.91526283,-19.63840675,-18.72314393,-0.00181527,-1.01530552,-1.01349025
2.50000000,-0.75403917,-0.61641312,0.13762605,-0.01891354,-1.62896514,-1.61005160,0.83278480,-0.02280152,-0.85558633,0.01848398,-0.04601353,-0.06449751,0.00209606,0.01801319,0.01591713,-0.43393828,-9.61979961,-9.18586134,-0.00031874,-0.69598228,-0.69566354
3.30000000,-0.49317211,-0.39863300,0.09453911,-0.00858623,-1.09993124,-1.09134501,0.54806815,-0.00891659,-0.55698474,0.00846672,-0.01312130,-0.02158802,0.00015971,0.00442967,0.00426996,-0.22446785,-5.07282352,-4.84835567,-0.00008743,-0.47898352,-0.47889609
4.10000000,-0.33445588,-0.26646805,0.06798783,-0.00422370,-0.76984733,-0.76562363,0.37376063,-0.00346238,-0.37722300,0.00416798,-0.00393940,-0.00810737,0.00001178,0.00105792,0.00104614,-0.12452450,-2.84533691,-2.72081242,-0.00002959,-0.33176637,-0.33173678
-3.40000000,-4.60568142,-2.54366302,2.06201839,-9.13951588,-43.87187576,-34.73235989,-124.04832554,-0.49006653,123.55825901,3.60826397,-176.76260376,-180.37086773,400.60060730,34.54455185,-366.05605545,-81.48484802,-1716.52563477,-1635.04078674,-28.72829378,-4.79234362,23.93595016
-3.18750000,-3.86717606,-2.54135132,1.32582474,-4.28098631,-33.56622314,-29.28523684,-61.78636551,-0.45885634,61.32750916,1.17561030,-87.98086548,-89.15647578,207.06187431,22.52616310,-184.53571121,-55.32165527,-1084.11022949,-1028.78857422,-13.84128613,-4.36068249,9.48060364
-2.97500000,-3.23528957,-2.42705345,0.80823612,-2.24128246,-26.19460297,-23.95332050,-29.74907398,-0.40882838,29.34024560,0.49759281,-46.39176941,-46.88936222,105.06666062,14.62061787,-90.44604275,-38.18596458,-714.45025635,-676.26429176,-6.57001954,-3.96118665,2.60883289
