batch_index,shift_angstrom,lr_es_kj_mol,lr_pol_kj_mol,lr_disp_kj_mol,sr_es_total_kj_mol,sr_pol_total_kj_mol,exchange_kj_mol,sr_disp_kj_mol,ct_like_kj_mol,dispersion_total_kj_mol,target_total_espol_kj_mol,total_nonbonded_kj_mol,weights
5,-2.1250000000,-1.7068855762,-0.3840714395,-10.8670768738,-0.4052677155,0.1847716421,6.0732204000,1.2286338806,-0.3038803322,-9.6384429932,-2.3114530891,-8.2715133276,1.0000000000
5,-1.7000000000,-1.3030678034,-0.2099986076,-5.5692405701,0.6627421975,0.1324607134,1.3780668800,0.4045138359,-0.0686730768,-5.1647267342,-0.7178635001,-6.0862631274,1.0000000000
5,-1.2750000000,-1.0184704065,-0.1241867691,-3.1022973061,0.7549300790,0.0888306908,0.3049200300,0.1910128444,-0.0178153303,-2.9112844616,-0.2988964058,-4.0657333842,1.0000000000
5,-0.8500000000,-0.8098354340,-0.0769462809,-1.8387552500,0.6590377688,0.0582799334,0.0662501500,0.1116053835,-0.0056856253,-1.7271498665,-0.1694640126,-2.7228310657,1.0000000000
5,-0.2125000000,-0.5879580379,-0.0397892557,-0.9161140323,0.4958223552,0.0312438905,0.0065824500,0.0562268198,-0.0015475222,-0.8598872125,-0.1006810479,-1.5832805486,1.0000000000
5,0.4250000000,-0.4362760782,-0.0217045993,-0.4948637784,0.3714220375,0.0173027287,0.0006346300,0.0290497653,-0.0005787915,-0.4658140130,-0.0692559113,-0.9929947921,1.0000000000
5,1.0625000000,-0.3295101523,-0.0123749273,-0.2846341431,0.2811172567,0.0099288151,0.0000557600,0.0151186716,-0.0002504893,-0.2695154715,-0.0508390078,-0.6624343127,1.0000000000
6,-1.1000000000,-17.0535335541,-11.2184276581,-116.7364273071,-37.4020252228,11.7542935014,172.2440376700,68.0806884766,-20.1277977924,-48.6557388306,-53.9196929336,21.2688501480,1.0000000000
6,-0.8500000000,-13.6524896622,-5.8420729637,-53.9590644836,-11.9427309036,5.4363874495,81.8253633600,21.6601467133,-8.7962819895,-32.2989177704,-26.0009060800,-4.7653049218,1.0000000000
6,-0.6000000000,-10.9601325989,-3.2937798500,-28.6257266998,-0.7819213867,2.7678871751,38.1912013200,6.8669652939,-3.7775378677,-21.7587614059,-12.2679466605,-13.8669584749,1.0000000000
6,-0.3500000000,-8.8376798630,-1.9615913630,-16.8089542389,3.5407142639,1.5210711956,17.6356722900,1.9435544014,-1.6122645983,-14.8653998375,-5.7374857664,-15.3787483913,1.0000000000
6,-0.1000000000,-7.1628398895,-1.2169067860,-10.6227264404,4.8101413250,0.8942633271,8.1054476200,0.3196706176,-0.6909166819,-10.3030558228,-2.6753420234,-13.9436135443,1.0000000000
6,0.4000000000,-4.7850127220,-0.5131723881,-4.9096527100,4.3580133915,0.3631111383,1.7225027300,-0.2694675922,-0.1343140950,-5.1791203022,-0.5770605803,-9.4661774218,1.0000000000
6,0.9000000000,-3.2746582031,-0.2376475781,-2.5645186901,3.2300817631,0.1710389256,0.3756926400,-0.2044075429,-0.0298455550,-2.7689262331,-0.1111850925,-6.0465696632,1.0000000000
6,1.4000000000,-2.2981922626,-0.1185781136,-1.4470728636,2.3203137908,0.0880592279,0.0840389300,-0.1208690703,-0.0078503238,-1.5679419339,-0.0083973575,-3.9169210681,1.0000000000
